WKT,roadID,oneway,layer,crossedRoads,length
"MULTILINESTRING ((25.208875 54.700420,25.208751 54.700448,25.207897 54.700628,25.207738 54.700666))",94,F,0;1,1639;1452,129
"MULTILINESTRING ((25.207738 54.700666,25.206603 54.700942))",95,F,0,,129
"MULTILINESTRING ((25.208962 54.702231,25.208727 54.702043,25.208547 54.701947,25.207759 54.701671,25.207674 54.701635,25.207616 54.701604,25.207556 54.701563,25.207508 54.701521,25.207467 54.701462,25.207360 54.701208,25.207327 54.701145,25.207275 54.701086,25.207196 54.701038,25.207102 54.700997,25.206991 54.700969,25.206845 54.700952,25.206603 54.700942))",1712,F,0,,307
"MULTILINESTRING ((25.208962 54.702231,25.208776 54.701781,25.208518 54.701145))",468,F,0,,120
"MULTILINESTRING ((25.207738 54.700666,25.207622 54.700738,25.207542 54.700799,25.207480 54.700868,25.207445 54.700931,25.207438 54.700993,25.207457 54.701053,25.207602 54.701386,25.207652 54.701462,25.207715 54.701520,25.207803 54.701567,25.207897 54.701591,25.208010 54.701603,25.208160 54.701601,25.208278 54.701577,25.208388 54.701518,25.208475 54.701409,25.208518 54.701145))",469,F,0,,231
"MULTILINESTRING ((25.208518 54.701145,25.208055 54.700249,25.207827 54.699828))",1639,F,0,93;94,153
"MULTILINESTRING ((25.207709 54.700453,25.207770 54.700439,25.208678 54.700228,25.208737 54.700214))",93,F,0;1,1452;1639,117
"MULTILINESTRING ((25.208737 54.700214,25.208820 54.700139,25.208877 54.700101,25.208919 54.700057,25.208950 54.700019,25.208971 54.699967,25.208978 54.699912,25.208967 54.699857,25.208790 54.699537,25.208748 54.699488,25.208690 54.699452,25.208632 54.699430,25.208560 54.699413,25.208463 54.699404,25.208371 54.699408,25.208295 54.699429,25.208216 54.699461,25.208156 54.699501,25.208118 54.699551,25.208072 54.699745))",467,F,0,,188
"MULTILINESTRING ((25.208737 54.700214,25.209821 54.699965))",1451,F,0,,123
"MULTILINESTRING ((25.207418 54.698639,25.207807 54.698927,25.207928 54.699000,25.208063 54.699066,25.208773 54.699371,25.208840 54.699407,25.208901 54.699454,25.208955 54.699521,25.209088 54.699761,25.209138 54.699822,25.209201 54.699869,25.209273 54.699905,25.209343 54.699933,25.209435 54.699952,25.209530 54.699963,25.209650 54.699964,25.209821 54.699965))",1710,F,0,,310
"MULTILINESTRING ((25.207418 54.698639,25.208072 54.699745))",540,F,0,,133
"MULTILINESTRING ((25.208072 54.699745,25.208324 54.700219,25.208777 54.701102))",1452,F,0,94;93,157
"MULTILINESTRING ((25.207827 54.699828,25.207641 54.699704,25.207536 54.699658,25.207383 54.699629,25.207280 54.699626,25.207179 54.699638,25.207090 54.699663,25.207015 54.699695,25.206945 54.699742,25.206898 54.699798,25.206878 54.699853,25.206879 54.699909,25.206903 54.699970,25.207027 54.700197,25.207078 54.700269,25.207138 54.700326,25.207216 54.700370,25.207304 54.700403,25.207394 54.700424,25.207473 54.700435,25.207570 54.700441,25.207709 54.700453))",472,F,0,,241
"MULTILINESTRING ((25.206544 54.700726,25.207709 54.700453))",1469,F,0,,132
"MULTILINESTRING ((25.206544 54.700726,25.206856 54.700539,25.206901 54.700478,25.206923 54.700417,25.206929 54.700353,25.206915 54.700300,25.206736 54.699988,25.206714 54.699921,25.206714 54.699854,25.206737 54.699781,25.206779 54.699688,25.207032 54.699197,25.207070 54.699108,25.207088 54.699023,25.207074 54.698803,25.206979 54.698433))",1713,F,0,,272
"MULTILINESTRING ((25.207827 54.699828,25.207505 54.699231,25.206979 54.698433))",1108,F,0,,169
"MULTILINESTRING ((25.208777 54.701102,25.208967 54.701264,25.209073 54.701316,25.209186 54.701340,25.209300 54.701342,25.209398 54.701327,25.209489 54.701298,25.209564 54.701256,25.209623 54.701206,25.209653 54.701164,25.209670 54.701111,25.209664 54.701059,25.209485 54.700660,25.209447 54.700611,25.209399 54.700563,25.209336 54.700526,25.209250 54.700488,25.209142 54.700462,25.209024 54.700443,25.208875 54.700420))",471,F,0,,240
"MULTILINESTRING ((25.209930 54.700182,25.208875 54.700420))",1304,F,0,,120
"MULTILINESTRING ((25.209930 54.700182,25.209703 54.700297,25.209623 54.700382,25.209598 54.700446,25.209589 54.700505,25.209603 54.700561,25.209817 54.701029,25.209828 54.701095,25.209821 54.701165,25.209800 54.701215,25.209742 54.701283,25.209536 54.701487,25.209427 54.701603,25.209349 54.701735,25.209313 54.701844,25.209293 54.701944,25.209331 54.702415))",1709,F,0,,273
"MULTILINESTRING ((25.208777 54.701102,25.209331 54.702415))",818,F,0,,146
